source,dataset,detector,stage,size_bucket,TP,FP,FN,n_gt,n_frames,precision,recall,f1,classifier
video_persize,video_drone_drone_attacked_by_bird_mountain_side_view,retrained_v2,S0_detector,medium,4,2,61,65,108,0.6667,0.0615,0.1127,
video_persize,video_drone_drone_attacked_by_bird_mountain_side_view,retrained_v2,S0_detector,large,3,2,18,21,108,0.6,0.1429,0.2308,
video_persize,video_drone_drone_over_mountain_attacked_by_birds,retrained_v2,S0_detector,small,0,0,0,0,68,0.0,0.0,0.0,
video_persize,video_drone_drone_over_mountain_attacked_by_birds,retrained_v2,S0_detector,medium,0,0,0,0,68,0.0,0.0,0.0,
video_persize,video_drone_drone_over_mountain_attacked_by_birds,retrained_v2,S0_detector,large,23,1,45,68,68,0.9583,0.3382,0.5,
video_persize,video_drone_drone_seagull_attack,retrained_v2,S0_detector,small,0,5,0,0,235,0.0,0.0,0.0,
video_persize,video_drone_drone_seagull_attack,retrained_v2,S0_detector,medium,16,4,2,18,235,0.8,0.8889,0.8421,
video_persize,video_drone_drone_seagull_attack,retrained_v2,S0_detector,large,69,3,107,176,235,0.9583,0.392,0.5565,
video_persize,video_drone_drone_takeoff_from_ground_and_not_hand_short,retrained_v2,S0_detector,small,2,1,14,16,163,0.6667,0.125,0.2105,
video_persize,video_drone_drone_takeoff_from_ground_and_not_hand_short,retrained_v2,S0_detector,medium,31,2,13,44,163,0.9394,0.7045,0.8052,
video_persize,video_drone_drone_takeoff_from_ground_and_not_hand_short,retrained_v2,S0_detector,large,81,3,13,94,163,0.9643,0.8617,0.9101,
video_persize,video_drone_drone_takeoff_short,retrained_v2,S0_detector,small,0,0,10,10,116,0.0,0.0,0.0,
video_persize,video_drone_drone_takeoff_short,retrained_v2,S0_detector,medium,29,0,21,50,116,1.0,0.58,0.7342,
video_persize,video_drone_drone_takeoff_short,retrained_v2,S0_detector,large,47,0,9,56,116,1.0,0.8393,0.9126,
video_persize,video_drone_drone_takeoff_short_trees_background_dji_air_3s_take_off_sho,retrained_v2,S0_detector,small,0,0,0,0,166,0.0,0.0,0.0,
video_persize,video_drone_drone_takeoff_short_trees_background_dji_air_3s_take_off_sho,retrained_v2,S0_detector,medium,6,0,8,14,166,1.0,0.4286,0.6,
video_persize,video_drone_drone_takeoff_short_trees_background_dji_air_3s_take_off_sho,retrained_v2,S0_detector,large,127,6,21,148,166,0.9549,0.8581,0.9039,
video_persize,video_drone_flock_of_seagulls_attack_drone_beach,retrained_v2,S0_detector,small,0,0,56,56,239,0.0,0.0,0.0,
video_persize,video_drone_flock_of_seagulls_attack_drone_beach,retrained_v2,S0_detector,medium,43,0,48,91,239,1.0,0.4725,0.6418,
video_persize,video_drone_flock_of_seagulls_attack_drone_beach,retrained_v2,S0_detector,large,39,0,1,40,239,1.0,0.975,0.9873,
video_persize,video_drone_two_birds_drone,retrained_v2,S0_detector,small,4,2,76,80,150,0.6667,0.05,0.093,
video_persize,video_drone_two_birds_drone,retrained_v2,S0_detector,medium,8,16,62,70,150,0.3333,0.1143,0.1702,
video_persize,video_drone_two_birds_drone,retrained_v2,S0_detector,large,0,2,0,0,150,0.0,0.0,0.0,
video_persize,video_birds_birds_flying_overhead_various_sizes_short,retrained_v2,S0_detector,small,0,0,0,0,20,0.0,0.0,0.0,
video_persize,video_birds_birds_flying_overhead_various_sizes_short,retrained_v2,S0_detector,medium,0,0,0,0,20,0.0,0.0,0.0,
video_persize,video_birds_birds_flying_overhead_various_sizes_short,retrained_v2,S0_detector,large,0,0,0,0,20,0.0,0.0,0.0,
video_persize,video_birds_birds_in_slow_motion_flying_various_sizes_compilation,retrained_v2,S0_detector,small,0,5,0,0,271,0.0,0.0,0.0,
video_persize,video_birds_birds_in_slow_motion_flying_various_sizes_compilation,retrained_v2,S0_detector,medium,0,38,0,0,271,0.0,0.0,0.0,
video_persize,video_birds_birds_in_slow_motion_flying_various_sizes_compilation,retrained_v2,S0_detector,large,0,4,0,0,271,0.0,0.0,0.0,
video_persize,video_birds_distant_birds_flying_in_the_sky_short,retrained_v2,S0_detector,small,0,0,0,0,20,0.0,0.0,0.0,
video_persize,video_birds_distant_birds_flying_in_the_sky_short,retrained_v2,S0_detector,medium,0,1,0,0,20,0.0,0.0,0.0,
video_persize,video_birds_distant_birds_flying_in_the_sky_short,retrained_v2,S0_detector,large,0,0,0,0,20,0.0,0.0,0.0,
video_persize,video_birds_flock_of_birds_flying_short,retrained_v2,S0_detector,small,0,0,0,0,21,0.0,0.0,0.0,
video_persize,video_birds_flock_of_birds_flying_short,retrained_v2,S0_detector,medium,0,0,0,0,21,0.0,0.0,0.0,
video_persize,video_birds_flock_of_birds_flying_short,retrained_v2,S0_detector,large,0,0,0,0,21,0.0,0.0,0.0,
video_persize,video_birds_flock_of_birds_flying_sunset,retrained_v2,S0_detector,small,0,0,0,0,20,0.0,0.0,0.0,
video_persize,video_birds_flock_of_birds_flying_sunset,retrained_v2,S0_detector,medium,0,1,0,0,20,0.0,0.0,0.0,
video_persize,video_birds_flock_of_birds_flying_sunset,retrained_v2,S0_detector,large,0,0,0,0,20,0.0,0.0,0.0,
video_persize,video_airplanes_airplanes_compilation,retrained_v2,S0_detector,small,0,3,0,0,249,0.0,0.0,0.0,
video_persize,video_airplanes_airplanes_compilation,retrained_v2,S0_detector,medium,0,57,0,0,249,0.0,0.0,0.0,
video_persize,video_airplanes_airplanes_compilation,retrained_v2,S0_detector,large,0,39,0,0,249,0.0,0.0,0.0,
video_persize,video_airplanes_distant_airplane_over_head_flying_away,retrained_v2,S0_detector,small,0,7,0,0,55,0.0,0.0,0.0,
video_persize,video_airplanes_distant_airplane_over_head_flying_away,retrained_v2,S0_detector,medium,0,10,0,0,55,0.0,0.0,0.0,
video_persize,video_airplanes_distant_airplane_over_head_flying_away,retrained_v2,S0_detector,large,0,1,0,0,55,0.0,0.0,0.0,
